id,name_zh,name_en,category,subcategory,gi,gi_level,gl_per_serving,gl_level,serving_g,calories_per_100g,carbs_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,blood_sugar_impact,best_timing,suitable_for,caution_for,tips,recommended_combos,data_sources
food-001,葡萄糖,Glucose,糖类,单糖,100,高,0,低,10,400,100,0,0,0,极高,无,医疗急救低血糖时使用,非急救情况避免直接食用,血糖基准物质，GI=100 | 所有糖类中升糖最快 | 直接饮用葡萄糖水后血糖极速飙升,,CN+SYD
food-002,蔗糖/白砂糖,Sucrose/White Sugar,糖类,双糖,65,中,7,低,10,387,99.9,0,0,0,中,无,一般人群少量,糖尿病/减重者严格控制,中GI但纯热量无营养 | 每日添加糖应控制在25g以下 | 液态糖比固态糖升糖更快,,CN+SYD
food-003,蜂蜜,Honey,糖类,天然糖,61,中,10,低,25,321,75.6,0.4,1.9,0,中,加餐,一般人群适量,1岁以下婴儿禁用,天然蜂蜜GI略低于白糖 | 果糖含量约40% | 一勺蜂蜜约21g糖,柠檬水 | 燕麦,CN+SYD
food-004,冰糖,Rock Sugar,糖类,加工糖,70,中,7,低,10,397,99,0,0,0,中,无,少量调味,糖尿病者避免,GI较高，与白糖接近 | 常用于中式炖品 | 控制用量,,CN
food-005,麦芽糖,Maltose,糖类,双糖,105,高,11,中,10,336,84,0,0,0,极高,无,一般人群少量,糖尿病者避免,GI比葡萄糖还高 | 常用于烘焙和传统糖果 | 升糖极快,,CN+SYD
food-006,白米饭,"White Rice, cooked",谷类,白米,83,高,36,高,150,116,25.9,2.6,0.3,0.4,极高,午餐,血糖控制良好者可少量食用,糖尿病患者需严格控制份量,升糖速度极快，建议混合糙米或杂豆降低GI | 放凉后部分淀粉变为抗性淀粉，升糖略降 | 每餐控制在一小碗（150g）以内 | 先吃蔬菜和蛋白质，最后吃米饭可延缓升糖,绿叶蔬菜 | 瘦肉 | 鱼肉 | 豆制品,CN+SYD
food-007,糙米饭,"Brown Rice, cooked",谷类,全谷物,50,低,17,中,150,111,23.0,2.6,0.9,1.8,极低,午餐,血糖偏高者替代白米饭的首选,消化功能弱者适量,比白米升糖慢得多（GI低约33点） | 麸皮含丰富膳食纤维和B族维生素 | 提前浸泡可改善口感，不改变GI | 放凉后部分淀粉转为抗性淀粉,菌菇类 | 豆类 | 鱼 | 蔬菜,CN+SYD
food-008,糯米饭,"Glutinous Rice, cooked",谷类,糯米,87,高,35,高,150,97,23.0,2.5,0.3,0.3,极高,无,血糖正常人群偶尔少量,糖尿病及糖耐量异常者避免,支链淀粉含量极高，升糖速度最快的米饭 | 汤圆、粽子、糯米鸡均属此类 | 糖尿病患者应完全避免,,CN+SYD
food-009,大米粥,Rice Porridge/Congee,谷类,粥类,69,中,9,低,200,46,9.8,1.1,0.2,0.1,中,早餐,肠胃不适时少量食用,糖尿病患者避免单独食用白米粥,长时间熬煮使淀粉糊化，GI高于米饭 | 熬煮越久GI越高 | 可加入杂粮、豆类降低GI,皮蛋瘦肉 | 蔬菜,CN+SYD
food-010,小米粥,Millet Porridge,谷类,粥类,62,中,10,低,200,46,8.4,1.4,0.7,0.3,中,早餐,一般人群适量,糖尿病患者仍需控制份量,GI低于大米粥 | 含B族维生素丰富 | 养胃但升糖不低,南瓜 | 红枣,CN
food-011,馒头,Steamed Bun/Mantou,谷类,面食,88,高,33,高,80,223,44.2,7.0,1.1,2.3,极高,早餐,血糖正常人群,糖尿病及糖耐量异常者应避免,升糖速度和幅度均很高 | 可替换为全麦馒头或杂粮馒头 | 如食用，务必搭配足量蔬菜和蛋白质,豆浆（无糖） | 鸡蛋 | 蔬菜沙拉,CN+SYD
food-012,全麦面包,Whole Wheat Bread,谷类,面包,69,中,14,中,70,247,41.3,13.4,3.4,6.0,中,早餐,血糖偏高者可适量替代白面包,注意份量（2片为宜）,选购时注意配料表第一位是否为全麦粉 | 市售全麦面包可能仅添加少量全麦粉 | 搭配鸡蛋或牛油果可进一步降低升糖,鸡蛋 | 牛油果 | 生菜 | 番茄,CN+SYD
food-013,白面包,White Bread,谷类,面包,88,高,28,高,70,265,49.1,9.0,3.2,2.7,极高,早餐,一般人群偶尔,糖尿病者避免,精制小麦粉制作，GI很高 | 比全麦面包升糖快得多 | 法棍/吐司均属此类,,CN+SYD
food-014,法棍面包,French Baguette,谷类,面包,95,高,35,高,70,272,51.9,9.0,1.3,2.7,极高,无,一般人群偶尔,糖尿病者避免,GI极高，接近葡萄糖 | 精制面粉烘焙 | 糖尿病患者应完全避免,,SYD
food-015,燕麦片（传统压制）,Rolled Oats,谷类,燕麦,55,低,13,中,40,377,66.3,13.2,6.7,10.1,极低,早餐,血糖偏高者的优质早餐,即食燕麦GI偏高（79），慎选,选择传统压制或钢切燕麦，避免即食燕麦（GI高达79） | 钢切燕麦GI仅为42，是最优选择 | β-葡聚糖有助延缓血糖上升 | 不要加糖，用少量水果或肉桂粉调味,坚果 | 鸡蛋 | 蓝莓 | 奇亚籽,CN+SYD
food-016,即食燕麦片,Instant Oats,谷类,燕麦,79,高,18,中,40,377,66.3,13.2,6.7,10.1,极高,早餐,一般人群偶尔,糖尿病者避免，选传统压制燕麦,加工度高导致GI远高于传统燕麦 | 预煮+压薄使淀粉易消化 | 不推荐血糖偏高者食用,,CN+SYD
food-017,钢切燕麦,Steel Cut Oats,谷类,燕麦,42,低,9,低,40,380,67.0,12.5,6.5,10.0,极低,早餐,糖尿病患者的最优燕麦选择,无明显禁忌,GI最低的燕麦品类 | 加工最少，消化最慢 | 需要较长时间烹煮（20-30分钟）,坚果 | 蓝莓 | 奇亚籽,SYD
food-018,荞麦面,Buckwheat Noodles/Soba,谷类,面条,49,低,14,中,180,99,21.4,4.8,0.5,2.0,极低,午餐/晚餐,血糖偏高者可选的面食替代,市售荞麦面可能混入小麦粉,升糖速度显著低于小麦面条 | 含芦丁（Rutin），有助血管健康 | 注意汤底和酱料是否含糖 | 选购高荞麦含量（>50%）的面,蔬菜 | 菌菇 | 鸡蛋 | 豆腐,CN+SYD
food-019,意大利面,Pasta/Spaghetti,谷类,面条,45,低,16,中,180,158,30.9,5.8,0.9,1.8,极低,午餐/晚餐,血糖偏高者可选的主食,注意酱料含糖量,硬质小麦制作的意面GI较低 | 煮5-15分钟GI不同，煮越久GI越高 | al dente（有嚼劲）GI最低,番茄酱（无糖） | 蔬菜 | 橄榄油 | 肉酱,CN+SYD
food-020,普通面条,Chinese Noodles,谷类,面条,82,高,30,高,180,110,24.3,3.5,0.6,1.2,极高,午餐/晚餐,一般人群适量,糖尿病者避免或少量,精制小麦粉制作，GI较高 | 汤面比拌面升糖更快 | 可加入大量蔬菜延缓升糖,蔬菜 | 鸡蛋 | 瘦肉,CN
food-021,米粉,Rice Noodles,谷类,面条,58,中,20,中,180,109,24.9,3.0,0.2,0.5,中,午餐/晚餐,一般人群适量,糖尿病者少量,GI中等，低于白米饭但高于糙米 | 南方常见主食 | 炒粉比汤粉升糖稍慢,蔬菜 | 瘦肉 | 鸡蛋,CN
food-022,玉米（老）,Corn,谷类,玉米,52,低,12,中,100,112,22.8,4.0,1.2,2.9,极低,早餐/午餐,血糖偏高者可适量食用,糯玉米需注意,老玉米GI低于甜玉米和糯玉米 | 甜玉米含糖量较高但GI仍属低 | 糯玉米支链淀粉多，消化快，需注意,鸡蛋 | 牛奶 | 蔬菜,CN+SYD
food-023,甜玉米,Sweet Corn,谷类,玉米,55,低,13,中,100,86,19.0,3.2,1.2,2.7,极低,加餐,一般人群适量,糖尿病者注意份量,GI处于低GI上限 | 含糖量比老玉米高 | 水煮最佳，避免烤制加糖,牛奶 | 鸡蛋,CN+SYD
food-024,糯玉米,Waxy Corn,谷类,玉米,75,高,18,中,100,130,28.0,3.5,1.0,2.0,极高,无,一般人群偶尔,糖尿病者避免,GI高，升糖快 | 支链淀粉含量高 | 口感软糯但血糖影响大,,CN
food-025,小米,Millet,谷类,杂粮,71,高,14,中,150,358,72.0,9.0,3.1,1.3,极高,早餐,一般人群适量,糖尿病者控制份量,GI偏高但低于白米 | 常用于煮粥 | 可搭配豆类降低GI,红豆 | 绿豆 | 蔬菜,CN
food-026,藜麦,Quinoa,谷类,杂粮,53,低,12,中,150,120,21.3,4.1,1.9,2.8,极低,午餐/晚餐,血糖偏高者的优质主食替代,无明显禁忌,全蛋白来源（含全部9种必需氨基酸） | GI低，纤维丰富 | 浸泡后煮熟，口感类似米饭 | 比白米饭升糖慢得多,烤蔬菜 | 鸡胸肉 | 豆类 | 牛油果,CN+SYD
food-027,糙米,"Brown Rice, raw",谷类,全谷物,50,低,17,中,150,348,72.0,7.4,2.7,3.4,极低,午餐/晚餐,血糖偏高者的主食首选,消化功能弱者适量,比白米升糖慢得多 | 富含膳食纤维和B族维生素 | 需提前浸泡烹煮,蔬菜 | 豆类,CN+SYD
food-028,黑米,Black Rice,谷类,全谷物,55,低,13,中,150,333,68.0,8.9,2.2,3.5,极低,午餐/晚餐,一般人群适量,无明显禁忌,花青素含量高，抗氧化 | GI处于低GI上限 | 口感较硬需提前浸泡,蔬菜 | 豆类,CN
food-029,红米,Red Rice,谷类,全谷物,55,低,14,中,150,340,70.0,8.0,2.5,3.0,极低,午餐/晚餐,一般人群适量,无明显禁忌,富含花青素和铁 | GI与黑米接近 | 口感较糙需浸泡,蔬菜 | 豆类,CN
food-030,小麦粉（白）,White Wheat Flour,谷类,面粉,85,高,0,低,0,354,74.4,11.2,1.5,2.8,极高,无,一般人群适量,糖尿病者控制摄入,精制面粉GI很高 | 用于制作馒头、面包、面条等 | 全麦粉GI约69，优于白面粉,,CN
food-031,红薯（蒸）,"Sweet Potato, steamed",薯类,红薯,54,低,13,中,150,86,20.1,1.6,0.1,2.6,极低,午餐,蒸/煮方式适用血糖偏高者,烤红薯升糖极快（GI 82-94），需避免,蒸/煮红薯GI约44-54（低GI），烤红薯GI高达82-94 | 放凉后抗性淀粉增加，升糖更慢 | 红薯纤维丰富，饱腹感强,绿叶蔬菜 | 鸡蛋 | 鸡胸肉,CN+SYD
food-032,红薯（烤）,"Sweet Potato, baked",薯类,红薯,82,高,20,中,150,90,21.0,1.5,0.1,2.5,极高,无,一般人群偶尔,糖尿病者避免,烤制使淀粉高度糊化，GI暴增 | 升糖速度接近白米饭 | 糖尿病患者应避免烤红薯,,CN+SYD
food-033,紫薯,Purple Sweet Potato,薯类,红薯,54,低,13,中,150,82,18.5,1.4,0.1,2.5,极低,加餐,一般人群适量,糖尿病者蒸制可少量,花青素含量极高 | GI与蒸红薯相近 | 蒸制最佳,牛奶 | 鸡蛋,CN
food-034,土豆（煮）,"Potato, boiled",薯类,土豆,66,中,14,中,150,87,20.0,1.9,0.1,1.4,中,午餐/晚餐,一般人群适量,糖尿病者注意份量,煮土豆GI中等 | 放凉后抗性淀粉增加（土豆沙拉GI更低） | 新土豆GI低于老土豆,蔬菜沙拉 | 鸡蛋,CN+SYD
food-035,土豆（烤）,"Potato, baked",薯类,土豆,85,高,21,高,150,93,21.2,2.0,0.1,1.5,极高,无,一般人群偶尔,糖尿病者避免,烤土豆GI很高 | 淀粉糊化程度高 | 升糖快,,CN+SYD
food-036,土豆泥,Mashed Potato,薯类,土豆,87,高,17,中,150,106,17.0,2.0,3.5,1.0,极高,无,一般人群偶尔,糖尿病者避免,GI极高，升糖很快 | 搅碎过程加速消化 | 加黄油/牛奶可稍降GI,,CN+SYD
food-037,薯条,French Fries,薯类,土豆,75,高,22,高,150,312,41.0,3.4,14.9,3.8,极高,无,一般人群偶尔,糖尿病/肥胖者避免,GI偏高且脂肪含量高 | 油炸食品，不健康 | 升糖+增重双重负面影响,,CN+SYD
food-038,芋头,Taro,薯类,芋头,48,低,10,低,150,79,18.1,2.2,0.2,1.0,极低,午餐/晚餐,血糖偏高者可适量替代主食,注意份量,GI低于土豆和红薯 | 口感软糯 | 蒸制最佳,排骨 | 蔬菜,CN
food-039,山药,Chinese Yam,薯类,山药,51,低,11,中,150,57,12.4,1.9,0.2,0.8,极低,午餐/晚餐,血糖偏高者可适量食用,无明显禁忌,GI低，适合替代部分主食 | 含黏蛋白，有助消化 | 蒸/煮/炒均可,排骨 | 木耳 | 蔬菜,CN
food-040,木薯粉,Tapioca,薯类,淀粉,67,中,15,中,100,362,88.7,1.5,0.3,0.9,中,无,一般人群少量,糖尿病者避免,纯淀粉，GI偏高 | 常用于珍珠奶茶、芋圆等 | 加工食品升糖快,,CN
food-041,黄豆,Soybean,豆类,大豆,18,低,2,低,150,359,34.2,35.0,16.0,15.5,极低,午餐/晚餐,所有人群，强烈推荐血糖偏高者,痛风急性期注意嘌呤,豆类中的慢消化碳水+高蛋白+高纤维，三重降升糖 | 大豆异黄酮对代谢健康有益 | 豆腐、豆浆等豆制品同样低GI,糙米 | 蔬菜 | 海带,CN+SYD
food-042,豆腐,Tofu,豆类,豆制品,15,低,1,低,150,81,4.2,8.1,3.7,0.4,极低,午餐/晚餐,所有人群，糖尿病友好,痛风急性期注意,GI极低，几乎不升糖 | 优质植物蛋白来源 | 适合各种烹饪方式,蔬菜 | 菌菇 | 瘦肉,CN
food-043,豆浆（无糖）,"Soy Milk, unsweetened",豆类,豆制品,15,低,1,低,250,31,1.2,3.0,1.6,0.6,极低,早餐,所有人群,选择无糖版本,GI极低 | 优质植物蛋白 | 注意选择无糖版本,全麦面包 | 鸡蛋,CN
food-044,绿豆,Mung Bean,豆类,杂豆,27,低,4,低,150,316,62.0,21.6,0.8,6.4,极低,午餐/晚餐,血糖偏高者推荐,脾胃虚寒者不宜多食,GI很低，适合糖友 | 夏季消暑佳品 | 绿豆汤不要加糖,糙米 | 蔬菜 | 薏米,CN+SYD
food-045,红豆,Adzuki Bean,豆类,杂豆,23,低,3,低,150,309,63.5,20.2,0.6,7.7,极低,午餐/晚餐,血糖偏高者推荐,注意甜品中的红豆加糖,GI很低 | 富含铁和钾 | 红豆沙/红豆糕因加糖GI升高,糙米 | 蔬菜,CN
food-046,鹰嘴豆,Chickpea,豆类,杂豆,28,低,3,低,150,164,27.4,8.9,2.6,7.6,极低,午餐/晚餐,血糖偏高者推荐,无明显禁忌,GI很低，蛋白质丰富 | 可做鹰嘴豆泥（Hummus） | 中东和印度料理常用,沙拉 | 蔬菜 | 糙米,CN+SYD
food-047,芸豆,Kidney Bean,豆类,杂豆,24,低,3,低,150,127,22.8,8.7,0.5,6.4,极低,午餐/晚餐,血糖偏高者推荐,必须充分煮熟,GI很低 | 富含蛋白质和纤维 | 需充分煮熟（生芸豆有毒）,糙米 | 蔬菜,CN+SYD
food-048,豌豆,Green Pea,豆类,鲜豆,22,低,3,低,150,81,14.5,5.4,0.4,5.7,极低,午餐/晚餐,所有人群,无明显禁忌,GI很低 | 维生素C丰富 | 淀粉含量比叶菜高,胡萝卜 | 玉米 | 鸡肉,CN
food-049,毛豆,Edamame,豆类,鲜豆,18,低,2,低,150,131,11.0,13.1,5.0,5.4,极低,加餐,所有人群，糖尿病友好,无明显禁忌,GI极低 | 高蛋白低碳水 | 优质加餐选择,单独煮食即可,CN
food-050,黑豆,Black Bean,豆类,杂豆,30,低,4,低,150,401,55.0,36.0,15.9,10.2,极低,午餐/晚餐,血糖偏高者推荐,无明显禁忌,GI低 | 花青素含量高 | 可做黑豆浆、黑豆饭,糙米 | 蔬菜,CN
food-051,花生,Peanut,豆类,坚果,14,低,1,低,30,567,16.1,25.8,49.2,8.3,极低,加餐,血糖偏高者的健康加餐选择,热量高，减重者控制份量；过敏者避免,富含健康脂肪和蛋白质，升糖极慢 | 高热量需注意总量控制（每天一小把） | 作为加餐可中和主食升糖,苹果 | 酸奶,CN+SYD
food-052,黑芝麻,Black Sesame,豆类,种子,20,低,1,低,30,559,10.2,19.1,46.1,6.0,极低,加餐,一般人群适量,黑芝麻糊加糖后GI升高,GI很低 | 富含钙和铁 | 黑芝麻糊因加糖GI升高,,CN
food-053,核桃,Walnut,豆类,坚果,15,低,1,低,30,654,13.7,15.2,65.2,6.7,极低,加餐,血糖偏高者的健康加餐,热量高，控制份量,GI极低 | Omega-3脂肪酸丰富 | 每天2-3个即可,酸奶 | 沙拉,CN
food-054,杏仁,Almond,豆类,坚果,15,低,1,低,30,579,21.6,21.2,49.4,12.5,极低,加餐,血糖偏高者的健康加餐,热量高，控制份量,GI极低 | 维生素E含量高 | 每天一小把（约23粒）,酸奶 | 水果,CN
food-055,腰果,Cashew,豆类,坚果,22,低,2,低,30,553,30.2,18.2,43.9,3.3,极低,加餐,血糖偏高者适量,热量高，控制份量,GI很低 | 碳水含量略高于其他坚果 | 每天一小把,炒菜,CN
food-056,西兰花,Broccoli,蔬菜,花菜类,10,低,1,低,150,34,6.6,2.8,0.4,2.6,极低,午餐/晚餐,所有人群，糖尿病患者的蔬菜首选,服用抗凝药物者注意维生素K含量,升糖几乎可以忽略，强烈推荐 | 含萝卜硫素（Sulforaphane），有益血糖控制 | 蒸/焯水后凉拌最佳，避免油炸,蒜 | 橄榄油 | 鸡胸肉 | 三文鱼,CN+SYD
food-057,花菜,Cauliflower,蔬菜,花菜类,15,低,1,低,150,25,4.9,1.9,0.2,2.1,极低,午餐/晚餐,所有人群,无明显禁忌,GI极低 | 可做花菜饭替代米饭 | 低碳饮食常用替代品,奶酪 | 鸡蛋 | 鸡肉,CN
food-058,菠菜,Spinach,蔬菜,叶菜,15,低,0,低,150,23,3.6,2.9,0.3,2.2,极低,午餐/晚餐,所有人群,草酸含量高，肾结石患者注意,深绿色叶菜，碳水含量极低 | 富含镁，有助改善胰岛素敏感性 | 富含叶黄素和维生素K,蒜 | 鸡蛋 | 蘑菇 | 番茄,CN
food-059,生菜,Lettuce,蔬菜,叶菜,15,低,0,低,150,13,1.8,1.4,0.2,0.5,极低,午餐/晚餐,所有人群,无明显禁忌,碳水极低，水分含量高 | 饱腹感强但热量极低 | 沙拉首选,鸡蛋 | 牛油果 | 鸡胸肉,CN
food-060,小白菜,Bok Choy,蔬菜,叶菜,15,低,0,低,150,15,2.7,1.5,0.1,1.0,极低,午餐/晚餐,所有人群,无明显禁忌,碳水极低 | 钙含量高 | 快炒保留营养,蒜 | 豆腐,CN
food-061,芹菜,Celery,蔬菜,茎菜,15,低,0,低,150,16,3.5,0.7,0.2,1.6,极低,午餐/晚餐,所有人群,无明显禁忌,碳水极低 | 富含纤维，有助控糖 | 降压作用（高钾）,百合 | 瘦肉,CN
food-062,黄瓜,Cucumber,蔬菜,瓜菜,15,低,0,低,150,16,3.6,0.8,0.2,0.5,极低,加餐/午餐/晚餐,所有人群,无明显禁忌,碳水极低，水分含量95% | 热量极低 | 生食/凉拌最佳,蒜 | 醋,CN
food-063,番茄,Tomato,蔬菜,茄果,15,低,1,低,150,18,3.9,0.9,0.2,1.2,极低,午餐/晚餐,所有人群,胃酸过多者空腹不宜大量食用,加热后番茄红素更易吸收 | 生食维生素C保留更好 | 小番茄含糖略高但总量仍然很低,鸡蛋 | 西兰花 | 橄榄油 | 牛油果,CN
food-064,茄子,Eggplant,蔬菜,茄果,15,低,1,低,150,21,4.9,1.1,0.2,1.3,极低,午餐/晚餐,所有人群,避免油炸茄子（吸油量大）,GI低但吸油性强 | 蒸/烤比油炸健康 | 花青素含量高（紫皮）,蒜 | 酱油,CN
food-065,胡萝卜,Carrot,蔬菜,根菜,47,低,5,低,150,39,8.8,1.0,0.2,2.8,极低,午餐/晚餐,一般人群适量,糖尿病者注意份量,GI中等（旧数据曾误报为高GI 92） | 煮熟后GI略升高 | β-胡萝卜素丰富,鸡蛋 | 肉类,CN+SYD
food-066,白萝卜,White Radish,蔬菜,根菜,15,低,0,低,150,21,5.0,0.9,0.1,1.0,极低,午餐/晚餐,所有人群,无明显禁忌,碳水极低 | 助消化 | 炖汤/凉拌均可,排骨 | 海带,CN
food-067,莲藕,Lotus Root,蔬菜,根菜,38,低,5,低,150,47,11.5,1.9,0.2,4.9,极低,午餐/晚餐,一般人群适量,糖尿病者注意份量（碳水较高）,GI低但碳水含量高于叶菜 | 淀粉含量较高，可部分替代主食 | 凉拌/清炒最佳,排骨 | 木耳,CN
