序号,选题标题,分类,热度,钩子类型,目标受众,执行状态,发布日期,抖音预估点赞,小红书预估点赞,B站预估点赞,实际数据记录,文案链接,备注
1,血糖高不能吃水果？这3种水果反而帮你稳血糖,辟谣纠偏,hot,颠覆认知,血糖偏高者/中老年,待做,,25w+,6.5w+,3.2w+,,,核心冲突：大家都以为水果甜=升糖快
2,糖尿病人不能吃米饭？营养师告诉你真相,辟谣纠偏,hot,打破迷思,糖友/家属/中老年,待做,,18w+,5.2w+,2.5w+,,,情绪价值：消除恐惧感
3,0糖饮料真的不升血糖？代糖的3个隐藏风险,辟谣纠偏,hot,行业揭秘,年轻人/控糖者,待做,,22w+,8.8w+,4.1w+,,,年轻人最关心的话题之一
4,空腹血糖正常就没事？餐后血糖才是隐形杀手,辟谣纠偏,warm,认知盲区,体检人群/35+,待做,,14w+,3.8w+,2.1w+,,,很多人只查空腹不查餐后
5,南瓜能降血糖？这5个控糖偏方都是假的,辟谣纠偏,warm,打假系列,中老年/糖友家属,待做,,16w+,4.6w+,2w+,,,中老年群体传播最广的偏方
6,控糖万能公式：记住这4样，80%的血糖难题迎刃而解,饮食指南,hot,万能公式,所有血糖关注者,待做,,28w+,7.2w+,3.5w+,,,公式化内容收藏率极高
7,吃米饭的正确顺序：换一下吃饭顺序，血糖稳一半,饮食指南,hot,简单有效,所有人群,待做,,32w+,9.5w+,5w+,,,全网验证过的爆款选题
8,这6种主食GI值低还能饱腹，血糖高的放心吃,饮食指南,hot,解决方案,控糖者/减脂人群,待做,,20w+,6.8w+,3w+,,,收藏属性强，反复参考
9,睡前饿了吃什么不升血糖？5种夜宵推荐,饮食指南,warm,痛点解决,糖友/夜猫子,待做,,12w+,4.2w+,1.8w+,,,切中真实生活场景
10,外卖点餐攻略：血糖高的人怎么点外卖,饮食指南,warm,生活刚需,上班族/年轻人,待做,,10w+,5.5w+,1.5w+,,,年轻群体刚需
11,煮米饭加一物，GI值降一半，血糖稳了,饮食指南,hot,一招见效,家庭烹饪者,待做,,24w+,8w+,3.8w+,,,实用性强，传播度高
12,血糖值多少算正常？一张表看懂你的血糖,数字科普,hot,人人都需要,所有成年人,待做,,35w+,12w+,6w+,,,基础刚需，每月都能发
13,35岁以后血糖警戒线：这个数值要注意了,数字科普,hot,年龄焦虑,35+职场人群,待做,,26w+,7w+,2.8w+,,,年龄标签增加点击率
14,糖化血红蛋白6.5%是什么意思？一文看懂,数字科普,steady,体检报告解读,体检人群,待做,,10w+,3.5w+,2.2w+,,,体检季流量高峰
15,血糖从12降到6，他只做了这3件事,数字科普,warm,前后对比,糖友/控糖者,待做,,19w+,5w+,2.5w+,,,数字对比极具传播力
16,饭后散步15分钟，血糖降30%？走路姿势有讲究,实操方法,hot,懒人控糖,所有血糖关注者,待做,,22w+,6w+,3.2w+,,,零成本，人人可执行
17,血糖飙升的3个时间点，学会了自己在家就能稳,实操方法,warm,时间规律,居家监测者,待做,,15w+,4.5w+,2.3w+,,,可配血糖仪实操画面
18,控糖第一天怎么吃？一份新手保姆级食谱,实操方法,hot,新手友好,刚发现血糖偏高者,待做,,18w+,8.5w+,2.8w+,,,收藏率极高的教程型内容
19,运动降糖的黄金30分钟：什么时间运动最有效,实操方法,steady,科学验证,运动爱好者/糖友,待做,,11w+,4w+,2.1w+,,,运动类内容互动率高
